Source,Target,Type,Id,Label,timeset,Weight
137448460152,63677016638,Directed,579,,,1
137448460152,213944607885,Directed,580,,,1
137448460152,254503214572367,Directed,581,,,1
137448460152,239234062755952,Directed,582,,,1
137448460152,25714197071,Directed,583,,,1
137448460152,59059558360,Directed,584,,,1
137448460152,99117529728,Directed,585,,,1
137448460152,167081942646,Directed,586,,,1
137448460152,343284195742737,Directed,587,,,1
137448460152,26474920848,Directed,588,,,1
137448460152,131547960225574,Directed,589,,,1
137448460152,71672328561,Directed,590,,,1
137448460152,57246455975,Directed,591,,,1
137448460152,188215351223506,Directed,592,,,1
137448460152,170168463274,Directed,593,,,1
137448460152,191665877553650,Directed,594,,,1
137448460152,470911516262605,Directed,595,,,1
137448460152,129200673831458,Directed,596,,,1
137448460152,153794005165,Directed,597,,,1
137448460152,48825705940,Directed,598,,,1
137448460152,5834919267,Directed,599,,,1
137448460152,381620438574367,Directed,600,,,1
137448460152,103535048155,Directed,601,,,1
137448460152,27510768337,Directed,602,,,1
137448460152,141633812523044,Directed,603,,,1
137448460152,132107681563,Directed,604,,,1
137448460152,154411984615983,Directed,605,,,1
137448460152,108789225833327,Directed,606,,,1
137448460152,300579096695705,Directed,607,,,1
137448460152,101825001717,Directed,608,,,1
137448460152,108100579219012,Directed,609,,,1
137448460152,121481837925275,Directed,610,,,1
137448460152,253525657994015,Directed,611,,,1
137448460152,101746962063,Directed,612,,,1
137448460152,131500073575334,Directed,613,,,1
137448460152,6435441794,Directed,614,,,1
137448460152,157136240296,Directed,615,,,1
137448460152,10150104755740604,Directed,616,,,1
137448460152,269714693121283,Directed,617,,,1
137448460152,295644160460352,Directed,618,,,1
137448460152,263486007807,Directed,619,,,1
137448460152,386149218109721,Directed,620,,,1
137448460152,39509644583,Directed,621,,,1
137448460152,103837657084,Directed,622,,,1
137448460152,124030312734,Directed,623,,,1
137448460152,134233279951263,Directed,624,,,1
137448460152,90955842823,Directed,625,,,1
137448460152,107440962619308,Directed,626,,,1
137448460152,120745732681,Directed,627,,,1
137448460152,181522741864927,Directed,628,,,1
137448460152,34127084244,Directed,629,,,1
137448460152,47613759022,Directed,630,,,1
137448460152,106415214632,Directed,631,,,1
137448460152,126952110347,Directed,632,,,1
137448460152,175027509119,Directed,633,,,1
137448460152,165583971161,Directed,634,,,1
137448460152,57138815724,Directed,635,,,1
137448460152,264972983556381,Directed,636,,,1
137448460152,12566691349,Directed,637,,,1
137448460152,59306617060,Directed,638,,,1
137448460152,42933792278,Directed,639,,,1
137448460152,34258004886,Directed,640,,,1
137448460152,125533325520,Directed,641,,,1
137448460152,148328247496,Directed,642,,,1
137448460152,124737854205962,Directed,643,,,1
137448460152,59888592749,Directed,644,,,1
137448460152,20534666726,Directed,645,,,1
137448460152,115535341805950,Directed,646,,,1
137448460152,153491058028703,Directed,647,,,1
137448460152,96028256183,Directed,648,,,1
137448460152,24662241754,Directed,649,,,1
137448460152,276840794353,Directed,650,,,1
137448460152,201755557239,Directed,651,,,1
137448460152,7774036261,Directed,652,,,1
137448460152,96787586476,Directed,653,,,1
137448460152,96060366743,Directed,654,,,1
137448460152,177003402283,Directed,655,,,1
137448460152,37873197144,Directed,656,,,1
137448460152,21317493981,Directed,657,,,1
137448460152,200706633279160,Directed,658,,,1
137448460152,111812795497632,Directed,659,,,1
137448460152,70674486854,Directed,660,,,1
